abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
sheer	not mixed with extraneous elements; "plain water"; "sheer wine"; "not an unmixed blessing"
sheer	very steep; having a prominent and almost vertical front; "a bluff headland"; "where the bold chalk cliffs of England rise"; "a sheer descent of rock"
sheer	so thin as to transmit light; "a hat with a diaphanous veil"; "filmy wings of a moth"; "gauzy clouds of dandelion down"; "gossamer cobwebs"; "sheer silk stockings"; "transparent chiffon"; "vaporous silks"
shipping	the commercial enterprise of moving goods and materials
shipping	conveyance provided by the ships belonging to one country or industry
shocking	glaringly vivid and graphic; marked by sensationalism; "lurid details of the accident"
shocking	giving offense to moral sensibilities and injurious to reputation; "scandalous behavior"; "the wicked rascally shameful conduct of the bankrupt"- Thackeray; "the most shocking book of its time"
shoot	a new branch
shoot	the act of shooting at targets; "they hold a shoot every weekend during the summer"
shore	the land along the edge of a body of water
shore	a beam or timber that is propped against a structure to provide support
short	primarily temporal sense; indicating or being or seeming to be limited in duration; "a short life"; "a short flight"; "a short holiday"; "a short story"; "only a few short months"
short	(primarily spatial sense) having little length or lacking in length; "short skirts"; "short hair"; "the board was a foot short"; "a short toss"
short	low in stature; not tall; "he was short and stocky"; "short in stature"; "a short smokestack"; "a little man"
short	of insufficient quantity to meet a need; "an inadequate income"; "a poor salary"; "money is short"; "on short rations"; "food is in short supply"; "short on experience"; "the jejune diets of the very poor"
short	(of memory) deficient in retentiveness or range; "a short memory"
short	not holding securities or commodities that one sells in expectation of a fall in prices; "a short sale"; "short in cotton"
short	of speech sounds or syllables of relatively short duration; "the English vowel sounds in `pat', `pet', `pit', `pot', putt' are short"
short	less than the correct or legal or full amount often deliberately so; "a light pound"; "a scant cup of sugar"; "regularly gives short weight"
short	lacking foresight or scope; "a short view of the problem"; "shortsighted policies"; "shortsighted critics derided the plan"; "myopic thinking"
short	tending to crumble or break into flakes due to a large amount of shortening; "shortbread is a short crumbly cookie"; "a short flaky pie crust"
short	marked by rude or peremptory shortness; "try to cultivate a less brusque manner"; "a curt reply"; "the salesgirl was very short with him"
term	a word or expression used for some particular thing; "he learned many medical terms"
term	a limited period of time; "a prison term"; "he left school before the end of term"
term	(usually plural) a statement of what is required as part of an agreement; "the contract set out the conditions of the lease"; "the terms of the treaty were generous"
term	any distinct quantity contained in a polynomial; "the general term of an algebraic equation of the n-th degree"
term	one of the substantive phrases in a logical proposition; "the major term of a syllogism must occur twice"
term	the end of gestation or point at which birth is imminent; "a healthy baby born at full term"
term	(architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome
shortage	the property of being an amount by which something is less than expected or required; "new blood vessels bud out from the already dilated vascular bed to make up the nutritional deficit"
shortage	an acute insufficiency
shortly	for a short time; "he was at the airport shortly before she was expected to arrive"
shortly	in the near future; "the doctor will soon be here"; "the book will appear shortly"; "she will arrive presently"; "we should have news before long"
shortly	in a curt, abrupt and discourteous manner; "he told me curtly to get on with it"; "he talked short with everyone"; "he said shortly that he didn't like it"
shortly	in a concise manner; in a few words; "the history is summed up concisely in this book"; "she replied briefly"; "briefly, we have a problem"; "to put it shortly"
shortly	at a short distance; "the hem fell shortly below her knees"
shrink	wither, as with a loss of moisture; "The fruit dried and shriveled"
shrink	draw back, as with fear or pain; "she flinched when they showed the slaughtering of the calf"
shrink	reduce in size; reduce physically; "Hot water will shrink the sweater"; "Can you shrink this image?"
shrink	become smaller or draw together; "The fabric shrank"; "The balloon shrank"
shrink	decrease in size, range, or extent; "His earnings shrank"; "My courage shrivelled when I saw the task before me"
shrug	a gesture involving the shoulders
sibling	a person's brother or sister
sigh	an utterance made by exhaling audibly
sigh	a sound like a person sighing; "she heard the sigh of the wind in the trees"
signature	your name written in your own handwriting
signature	a distinguishing style; "this room needs a woman's touch"
signature	a melody used to identify a performer or a dance band or radio/tv program
signature	the sharps or flats that follow the clef and indicate the key
signature	a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book
significance	the quality of being significant; "do not underestimate the significance of nuclear power"
significance	a meaning that is not expressly stated but can be inferred; "the significance of his remark became clear only later"; "the expectation was spread both by word and by implication"
significance	the message that is intended or expressed or signified; "what is the meaning of this sentence"; "the significance of a red traffic light"; "the signification of Chinese characters"; "the import of his announcement was ambiguous"
simulate	reproduce someone's behavior or looks; "The mime imitated the passers-by"; "Children often copy their parents or older siblings"
simulate	create a representation or model of; "The pilots are trained in conditions simulating high-altitude flights"
simulate	make a pretence of; "She assumed indifference, even though she was seething with anger"; "he feigned sleep"
simulation	the act of imitating the behavior of some situation or some process by means of something suitably analogous (especially for the purpose of study or personnel training)
simulation	(computer science) the technique of representing the real world by a computer program; "a simulation should imitate the internal processes and not merely the results of the thing being simulated"
simulation	representation of something (sometimes on a smaller scale)
simulation	the act of giving a false appearance; "his conformity was only pretending"
simultaneously	at the same instant; "they spoke simultaneously"
sin	commit a sin; violate a law of God or a moral law
sin	commit a faux pas or a fault or make a serious mistake; "I blundered during the job interview"
situated	situated in a particular spot or position; "valuable centrally located urban land"; "strategically placed artillery"; "a house set on a hilltop"; "nicely situated on a quiet riverbank"
sketch	preliminary drawing for later elaboration; "he made several studies before starting to paint"
sketch	a brief literary description
sketch	short descriptive summary (of events)
sketch	a humorous or satirical drawing published in a newspaper or magazine
skilled	having or showing or requiring special skill; "only the most skilled gymnasts make an Olympic team"; "a skilled surgeon has many years of training and experience"; "a skilled reconstruction of her damaged elbow"; "a skilled trade"
skip	bypass; "He skipped a row in the text and so the sentence was incomprehensible"
skip	intentionally fail to attend; "cut class"
skip	jump lightly
skip	leave suddenly; "She persuaded him to decamp"; "skip town"
skip	bound off one point after another
skip	cause to skip over a surface; "Skip a stone across the pond"
skull	the bony skeleton of the head of vertebrates
slam	winning all or all but one of the tricks in bridge
slam	the noise made by the forceful impact of two objects
slam	a forceful impact that makes a loud noise
slam	an aggressive remark directed at a person like a missile and intended to have a telling effect; "his parting shot was `drop dead'"; "she threw shafts of sarcasm"; "she takes a dig at me every chance she gets"
slap	a blow from a flat object (as an open hand)
slap	the act of smacking something; a blow delivered with an open hand
slash	a wound made by cutting; "he put a bandage over the cut"
slash	an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
slash	a punctuation mark (/) used to separate related items of information
slash	a strong sweeping cut made with a sharp instrument
slavery	the state of being under the control of another person
slavery	the practice of owning slaves
slavery	work done under harsh conditions for little or no pay
slogan	a favorite saying of a sect or political group
slot	a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable; "he developed a version of slot grammar"
slot	a small slit (as for inserting a coin or depositing mail); "he put a quarter in the slot"
slot	a time assigned on a schedule or agenda; "the TV program has a new time slot"; "an aircraft landing slot"
slot	a position in a hierarchy or organization; "Bob Dylan occupied the top slot for several weeks"; "she beat some tough competition for the number one slot"
slot	the trail of an animal (especially a deer); "he followed the deer's slot over the soft turf to the edge of the trees"
slot	(computer) a socket in a microcomputer that will accept a plug-in circuit board; "the PC had three slots for additional memory"
slot	a slot machine that is used for gambling; "they spend hours and hours just playing the slots"
smash	a vigorous blow; "the sudden knock floored him"; "he took a bash right in his face"; "he got a bang on the head"
smash	a serious collision (especially of motor vehicles)
smash	a hard return hitting the tennis ball above your head
smash	the act of colliding with something; "his crash through the window"; "the fullback's smash into the defensive line"
smash	a conspicuous success; "that song was his first hit and marked the beginning of his career"; "that new Broadway show is a real smasher"; "the party went with a bang"
snap	the act of catching an object with the hands; "Mays made the catch with his back to the plate"; "he made a grab for the ball before it landed"; "Martin's snatch at the bridle failed and the horse raced away"; "the infielder's snap and throw was a single motion"
snap	a spell of cold weather; "a cold snap in the middle of May"
snap	tender green beans without strings that easily snap into sections
snap	a crisp round cookie flavored with ginger
snap	the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand; "servants appeared at the snap of his fingers"
snap	a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"
snap	a sudden breaking
snap	the tendency of a body to return to its original shape after it has been stretched or compressed; "the waistband had lost its snap"
snap	an informal photograph; usually made with a small hand-held camera; "my snapshots haven't been developed yet"; "he tried to get unposed shots of his friends"
snap	a fastener used on clothing; fastens with a snapping sound; "children can manage snaps better than buttons"
snap	any undertaking that is easy to do; "marketing this product will be no picnic"
snap	the act of snapping the fingers; movement of a finger from the tip to the base of the thumb on the same hand; "he gave his fingers a snap"
snap	(American football) putting the ball in play by passing it (between the legs) to a back; "the quarterback fumbled the snap"
so	to a very great extent or degree; "the idea is so obvious"; "never been so happy"; "I love you so"; "my head aches so!"
so	in a manner that facilitates; "he observed the snakes so he could describe their behavior"; "he stooped down so he could pick up his hat"
so	in such a condition or manner, especially as expressed or implied; "They're happy and I hope they will remain so"; "so live your life that old age will bring no regrets"
so	to a certain unspecified extent or degree; "I can only go so far with this student"; "can do only so much in a day"
so	in the same way; also; "I was offended and so was he"; "worked hard and so did she"
so	in the way indicated; "hold the brush so"; "set up the pieces thus"; (`thusly' is a nonstandard variant)
so	(usually followed by `that') to an extent or degree as expressed; "he was so tired he could hardly stand"; "so dirty that it smells"
so	subsequently or soon afterward (often used as sentence connectors); "then he left"; "go left first, then right"; "first came lightning, then thunder"; "we watched the late movie and then went to bed"; "and so home and to bed"
so	(used to introduce a logical conclusion) from that fact or reason or as a result; "therefore X must be true"; "the eggs were fresh and hence satisfactory"; "we were young and thence optimistic"; "it is late and thus we must go"; "the witness is biased and so cannot be trusted"
so	in truth (often tends to intensify); "they said the car would break down and indeed it did"; "it is very cold indeed"; "was indeed grateful"; "indeed, the rain may still come"; "he did so do it!"
soak	submerge in a liquid; "I soaked in the hot tub for an hour"
soak	rip off; ask an unreasonable price
soak	cover with liquid; pour liquid onto; "souse water on his hot face"
soak	leave as a guarantee in return for money; "pawn your grandfather's gold watch"
soak	beat severely
soak	make drunk (with alcoholic drinks)
soak	become drunk or drink excessively
soak	fill, soak, or imbue totally; "soak the bandage with disinfectant"
soak	heat a metal prior to working it
soar	rise rapidly; "the dollar soared against the yen"
soar	fly by means of a hang glider
soar	fly upwards or high in the sky
soar	go or move upward; "The stock market soared after the cease-fire was announced"
soar	fly a plane without an engine
socialist	advocating or following the socialist principles; "socialistic government"
sole	not divided or shared with others; "they have exclusive use of the machine"; "sole rights of publication"
sole	being the only one; single and isolated from others; "the lone doctor in the entire county"; "a lonesome pine"; "an only child"; "the sole heir"; "the sole example"; "a solitary instance of cowardice"; "a solitary speck in the sky"
solely	without any others being included or involved; "was entirely to blame"; "a school devoted entirely to the needs of problem children"; "he works for Mr. Smith exclusively"; "did it solely for money"; "the burden of proof rests on the prosecution alone"; "a privilege granted only to him"
solicitor	a petitioner who solicits contributions or trade or votes
solicitor	a British lawyer who gives legal advice and prepares legal documents
solidarity	a union of interests or purposes or sympathies among members of a group
solo	any activity that is performed alone without assistance
solo	a musical composition for one voice or instrument (with or without accompaniment)
solo	a flight in which the aircraft pilot is unaccompanied
somehow	in some unspecified way or manner; or by some unspecified means; "they managed somehow"; "he expected somehow to discover a woman who would love him"; "he tried to make is someway acceptable"
somehow	for some unspecified reason; "It doesn't seem fair somehow"; "he had me dead to rights but somehow I got away with it"
sometime	at some indefinite or unstated time; "let's get together sometime"; "everything has to end sometime"; "It was to be printed sometime later"
sophisticated	having or appealing to those having worldly knowledge and refinement and savoir-faire; "sophisticated young socialites"; "a sophisticated audience"; "a sophisticated lifestyle"; "a sophisticated book"
sophisticated	ahead in development; complex or intricate; "advanced technology"; "a sophisticated electronic control system"
sophisticated	intellectually appealing; "a sophisticated drama"
sound	financially secure and safe; "sound investments"; "a sound economy"
sound	exercising or showing good judgment; "healthy scepticism"; "a healthy fear of rattlesnakes"; "the healthy attitude of French laws"; "healthy relations between labor and management"; "an intelligent solution"; "a sound approach to the problem"; "sound advice"; "no sound explanation for his decision"
sound	in good condition; free from defect or damage or decay; "a sound timber"; "the wall is sound"; "a sound foundation"
sound	in excellent physical condition; "good teeth"; "I still have one good leg"; "a sound mind in a sound body"
sound	logically valid; "a sound argument"
sound	having legal efficacy or force; "a sound title to the property"
sound	vigorous or severe; "a sound thrashing"
sound	free from moral defect; "a man of sound character"
sound	(of sleep) deep and complete; "a heavy sleep"; "fell into a profound sleep"; "a sound sleeper"; "deep wakeless sleep"
sound	complete; thorough; "politicians have no sound grasp of technology issues"; "he has a sound understanding of the law"
sovereignty	government free from external control
sovereignty	royal authority; the dominion of a monarch
sovereignty	the authority of a state to govern another state
Spam	a canned meat made largely from pork
spam	unwanted e-mail (usually of a commercial nature sent out in bulk)
span	the complete duration of something; "the job was finished in the span of an hour"
span	the distance or interval between two points
span	two items of the same kind
span	a unit of length based on the width of the expanded human hand (usually taken as 9 inches)
span	a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
span	the act of sitting or standing astride
spare	thin and fit; "the spare figure of a marathon runner"; "a body kept trim by exercise"
spare	more than is needed, desired, or required; "trying to lose excess weight"; "found some extra change lying on the dresser"; "yet another book on heraldry might be thought redundant"; "skills made redundant by technological advance"; "sleeping in the spare room"; "supernumerary ornamentation"; "it was supererogatory of her to gloat"; "delete superfluous (or unnecessary) words"; "extra ribs as well as other supernumerary internal parts"; "surplus cheese distributed to the needy"
spare	not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"
spare	kept in reserve especially for emergency use; "a reserve supply of food"; "a spare tire"; "spare parts"
spare	lacking in magnitude or quantity; "a bare livelihood"; "a scanty harvest"; "a spare diet"
spare	lacking embellishment or ornamentation; "a plain hair style"; "unembellished white walls"; "functional architecture featuring stark unornamented concrete"
spark	a momentary flash of light
spark	merriment expressed by a brightness or gleam or animation of countenance; "he had a sparkle in his eye"; "there's a perpetual twinkle in his eyes"
spark	electrical conduction through a gas in an applied electric field
spark	a small but noticeable trace of some quality that might become stronger; "a spark of interest"; "a spark of decency"
Spark	Scottish writer of satirical novels (born in 1918)
spark	a small fragment of a burning substance thrown out by burning material or by friction
specialize	become more focused on an area of activity or field of study; "She specializes in Near Eastern history"
specialize	be specific about; "Could you please specify your criticism of my paper?"
specialize	suit to a special purpose; "specialize one's research"; "this kind of beak has become specialized in certain Galapagos finches"
specialize	devote oneself to a special area of work; "She specializes in honey bees"; "This baker specializes in French bread"
specialize	evolve so as to lead to a new species or develop in a way most suited to the environment
specialized	developed or designed for a special activity or function; "a specialized tool"
specification	a detailed description of design criteria for a piece of work
specification	naming explicitly
specification	(patent law) a document drawn up by the applicant for a patent of invention that provides an explicit and detailed description of the nature and use of an invention
specification	a restriction that is insisted upon as a condition for an agreement
specify	specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement; "The will stipulates that she can live in the house for the rest of her life"; "The contract stipulates the dates of the payments"
specify	decide upon or fix definitely; "fix the variables"; "specify the parameters"
specify	determine the essential quality of
specify	be specific about; "Could you please specify your criticism of my paper?"
specify	define clearly; "I cannot narrow down the rules for this game"
specify	design or destine; "She was intended to become the director"
specify	select something or someone for a specific purpose; "The teacher assigned him to lead his classmates in the exercise"
specimen	an example regarded as typical of its class
specimen	a bit of tissue or blood or urine that is taken for diagnostic purposes; "they collected a urine specimen for urinalysis"
spectacle	something or someone seen (especially a notable or unusual sight); "the tragic spectacle of cripples trying to escape"
spectacle	an elaborate and remarkable display on a lavish scale
spectacle	a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself
spectacular	sensational in appearance or thrilling in effect; "a dramatic sunset"; "a dramatic pause"; "a spectacular display of northern lights"; "it was a spectacular play"; "his striking good looks always created a sensation"
spectacular	characteristic of spectacles or drama; "spectacular dives from the cliff"
spectacular	having a quality that thrusts itself into attention; "an outstanding fact of our time is that nations poisoned by anti semitism proved less fortunate in regard to their own freedom"; "a new theory is the most prominent feature of the book"; "salient traits"; "a spectacular rise in prices"; "a striking thing about Picadilly Circus is the statue of Eros in the center"; "a striking resemblance between parent and child"
spectator	a close observer; someone who looks at something (such as an exhibition of some kind); "the spectators applauded the performance"; "television viewers"; "sky watchers discovered a new star"
spectator	a woman's pump with medium heel; usually in contrasting colors for toe and heel
spectrum	an ordered array of the components of an emission or wave
spectrum	a broad range of related objects or values or qualities or ideas or activities
speculate	to believe especially on uncertain or tentative grounds; "Scientists supposed that large dinosaurs lived in swamps"
speculate	talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion; "We were speculating whether the President had to resign after the scandal"
speculate	reflect deeply on a subject; "I mulled over the events of the afternoon"; "philosophers have speculated on the question of God for thousands of years"; "The scientist must stop to observe and start to excogitate"
speculate	invest at a risk; "I bought this house not because I want to live in it but to sell it later at a good price, so I am speculating"
speculation	a message expressing an opinion based on incomplete evidence
speculation	a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence); "speculations about the outcome of the election"; "he dismissed it as mere conjecture"
speculation	an investment that is very risky but could yield great profits; "he knew the stock was a speculation when he bought it"
speculation	continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; "the habit of meditation is the basis for all real knowledge"
spell	a psychological state induced by (or as if induced by) a magical incantation
spell	a time period for working (after which you will be relieved by someone else); "it's my go"; "a spell of work"
spell	a period of indeterminate length (usually short) marked by some action or condition; "he was here for a little while"; "I need to rest for a piece"; "a spell of good weather"; "a patch of bad weather"
spell	a verbal formula believed to have magical force; "he whispered a spell as he moved his hands"; "inscribed around its base is a charm in Balinese"
sphere	a particular environment or walk of life; "his social sphere is limited"; "it was a closed area of employment"; "he's out of my orbit"
sphere	any spherically shaped artifact
sphere	the geographical area in which one nation is very influential
sphere	a particular aspect of life or activity; "he was helpless in an important sector of his life"
sphere	a solid figure bounded by a spherical surface (including the space it encloses)
sphere	a three-dimensional closed surface such that every point on the surface is equidistant from the center
sphere	the apparent surface of the imaginary sphere on which celestial bodies appear to be projected
spill	liquid that is spilled; "clean up the spills"
spill	a channel that carries excess water over or around a dam or other obstruction
spill	the act of allowing a fluid to escape
spill	a sudden drop from an upright position; "he had a nasty spill on the ice"
spin	a swift whirling motion (usually of a missile)
spin	the act of rotating rapidly; "he gave the crank a spin"; "it broke off after much twisting"
spin	a short drive in a car; "he took the new car for a spin"
spin	rapid descent of an aircraft in a steep spiral
spin	a distinctive interpretation (especially as used by politicians to sway public opinion); "the campaign put a favorable spin on the story"
spine	the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; "the fall broke his back"
spine	any sharply pointed projection
spine	a small sharp-pointed tip resembling a spike on a stem or leaf
spine	the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved; "the title and author were printed on the spine of the book"
spine	a sharp rigid animal process or appendage; as a porcupine quill or a ridge on a bone or a ray of a fish fin
spite	feeling a need to see others suffer
spite	malevolence by virtue of being malicious or spiteful or nasty
spoil	(usually plural) valuables taken by violence (especially in war); "to the victor belong the spoils of the enemy"
spoil	the act of spoiling something by causing damage to it; "her spoiling my dress was deliberate"
spoil	the act of stripping and taking by force
spokesman	a male spokesperson
spokesperson	an advocate who represents someone else's policy or purpose; "the meeting was attended by spokespersons for all the major organs of government"
spokeswoman	a female spokesperson
sponsorship	the act of sponsoring (either officially or financially)
sporting	exhibiting or calling for sportsmanship or fair play; "a clean fight"; "a sporting solution of the disagreement"; "sportsmanlike conduct"
sporting	relating to or used in sports; "sporting events"; "sporting equipment"
sporting	involving risk or willingness to take a risk; "a sporting chance"; "sporting blood"
sporting	preoccupied with the pursuit of pleasure and especially games of chance; "led a dissipated life"; "a betting man"; "a card-playing son of a bitch"; "a gambling fool"; "sporting gents and their ladies"
spotlight	a focus of public attention; "he enjoyed being in the limelight"; "when Congress investigates it brings the full glare of publicity to the agency"
spotlight	a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
spouse	a person's partner in marriage
spy	(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
spy	a secret watcher; someone who secretly watches other people; "my spies tell me that you had a good time last night"
squad	a smallest army unit
squad	a cooperative unit (especially in sports)
squad	a small squad of policemen trained to deal with a particular kind of crime
squeeze	the act of gripping and pressing firmly; "he gave her cheek a playful squeeze"
squeeze	a state in which there is a short supply of cash to lend to businesses and consumers and interest rates are high
squeeze	a situation in which increased costs cannot be passed on to the customer; "increased expenses put a squeeze on profits"
squeeze	(slang) a person's girlfriend or boyfriend; "she was his main squeeze"
squeeze	a twisting squeeze; "gave the wet cloth a wring"
squeeze	an aggressive attempt to compel acquiescence by the concentration or manipulation of power; "she laughed at this sexual power play and walked away"
squeeze	a tight or amorous embrace; "come here and give me a big hug"
squeeze	the act of forcing yourself (or being forced) into or through a restricted space; "getting through that small opening was a tight squeeze"
stab	a sudden sharp feeling; "pangs of regret"; "she felt a stab of excitement"; "twinges of conscience"
stab	a strong blow with a knife or other sharp pointed instrument; "one strong stab to the heart killed him"
stab	informal words for any attempt or effort; "he gave it his best shot"; "he took a stab at forecasting"
stability	the quality or attribute of being firm and steadfast
stability	a stable order (especially of society)
stability	the quality of being enduring and free from change or variation; "early mariners relied on the constancy of the trade winds"
stabilize	make stable and keep from fluctuating or put into an equilibrium; "The drug stabilized her blood pressure"; "stabilize prices"
stabilize	support or hold steady and make steadfast, with or as if with a brace; "brace your elbows while working on the potter's wheel"
stabilize	become stable or more stable; "The economy stabilized"
stake	(law) a right or legal share of something; a financial involvement with something; "they have interests all over the world"; "a stake in the company's future"
stake	a pole or stake set up to mark something (as the start or end of a race track); "a pair of posts marked the goal"; "the corner of the lot was indicated by a stake"
stake	instrument of execution consisting of a vertical post that a victim is tied to for burning
stake	the money risked on a gamble
stake	a strong wooden or metal post with a point at one end so it can be driven into the ground
stall	a compartment in a stable where a single animal is confined and fed
stall	small area set off by walls for special use
stall	a booth where articles are displayed for sale
stall	a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge; "the plane went into a stall and I couldn't control it"
stall	seating in the forward part of the main level of a theater
stall	small individual study area in a library
stall	a tactic used to mislead or delay
stance	standing posture
stance	a rationalized mental attitude
standing	having a supporting base; "a standing lamp"
standing	not created for a particular occasion; "a standing committee"
standing	(of fluids) not moving or flowing; "mosquitoes breed in standing water"
standing	executed in or initiated from a standing position; "race from a standing start"; "a standing jump"; "a standing ovation"
standing	(of persons) on the feet; having the torso in an erect position supported by straight legs; "standing room only"
standing	permanent; "a standing army"
stark	devoid of any qualifications or disguise or adornment; "the blunt truth"; "the crude facts"; "facing the stark reality of the deadline"
stark	severely simple; "a stark interior"
stark	complete or extreme; "stark poverty"; "a stark contrast"
stark	without qualification; used informally as (often pejorative) intensifiers; "an arrant fool"; "a complete coward"; "a consummate fool"; "a double-dyed villain"; "gross negligence"; "a perfect idiot"; "pure folly"; "what a sodding mess"; "stark staring mad"; "a thorough nuisance"; "a thoroughgoing villain"; "utter nonsense"; "the unadulterated truth"
stark	providing no shelter or sustenance; "bare rocky hills"; "barren lands"; "the bleak treeless regions of the high Andes"; "the desolate surface of the moon"; "a stark landscape"
starve	be hungry; go without food; "Let's eat--I'm starving!"
starve	die of food deprivation; "The political prisoners starved to death"; "Many famished in the countryside during the drought"
starve	deprive of food; "They starved the prisoners"
starve	have a craving, appetite, or great desire for
starve	deprive of a necessity and cause suffering; "he is starving her of love"; "The engine was starved of fuel"
statistical	of or relating to statistics; "statistical population"
steadily	at a steady rate or pace; "his interest eroded steadily"
steadily	in a steady manner; "he could still walk steadily"
steam	water at boiling temperature diffused in the atmosphere
steer	an indication of potential opportunity; "he got a tip on the stock market"; "a good lead for a job"
steer	castrated bull
stem	(linguistics) the form of a word after all affixes are removed; "thematic vowels are part of the stem"
stem	a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
stem	cylinder forming a long narrow part of something
stem	the tube of a tobacco pipe
stem	front part of a vessel or aircraft; "he pointed the bow of the boat toward the finish line"
stem	a turn made in skiing; the back of one ski is forced outward and the other ski is brought parallel to it
stereotype	a conventional or formulaic conception or image; "regional stereotypes have been part of America since its founding"
stimulate	act as a stimulant; "The book stimulated her imagination"; "This play stimulates"
stimulate	cause to do; cause to act in a specified manner; "The ads induced me to buy a VCR"; "My children finally got me to buy a computer"; "My wife made me buy a new sofa"
stimulate	stir the feelings, emotions, or peace of; "These stories shook the community"; "the civil war shook the country"
stimulate	cause to be alert and energetic; "Coffee and tea stimulate me"; "This herbal infusion doesn't stimulate"
stimulate	cause to occur rapidly; "the infection precipitated a high fever and allergic reactions"
stimulate	stir feelings in; "stimulate my appetite"; "excite the audience"; "stir emotions"
stimulate	provide the needed stimulus for
stimulus	any stimulating information or event; acts to arouse action
stir	a prominent or sensational but short-lived news event; "he made a great splash and then disappeared"
stir	emotional agitation and excitement
stir	a rapid active commotion
storage	the act of storing something
storage	a depository for goods; "storehouses were built close to the docks"
storage	the commercial enterprise of storing goods and materials
storage	(computer science) the process of storing information in a computer memory or on a magnetic tape or disk
storage	an electronic memory device; "a memory and the CPU form the central part of a computer to which peripherals are attached"
storage	depositing in a warehouse; "they decided to reposition their furniture in a recommended repository in Brooklyn"; "my car is in storage"; "publishers reduced print runs to cut down the cost of warehousing"
straightforward	free from ambiguity; "a straightforward set of instructions"
straightforward	without evasion or compromise; "a square contradiction"; "he is not being as straightforward as it appears"
straightforward	without concealment or deception; honest; "their business was open and aboveboard"; "straightforward in all his business affairs"
straightforward	pointed directly ahead; "a straightforward gaze"
strain	(physics) deformation of a physical body under the action of applied forces
strain	difficulty that causes worry or emotional tension; "she endured the stresses and strains of life"; "he presided over the economy during the period of the greatest stress and danger"- R.J.Samuelson
strain	a succession of notes forming a distinctive sequence; "she was humming an air from Beethoven"
strain	(psychology) nervousness resulting from mental stress; "his responsibilities were a constant strain"; "the mental strain of staying alert hour after hour was too much for him"
strain	a special variety of domesticated animals within a species; "he experimented on a particular breed of white rats"; "he created a new strain of sheep"
strain	(biology) a group of organisms within a species that differ in trivial ways from similar groups; "a new strain of microorganisms"
strain	injury to a muscle (often caused by overuse); results in swelling and pain
strain	the general meaning or substance of an utterance; "although I disagreed with him I could follow the tenor of his argument"
strain	an effortful attempt to attain a goal
strain	an intense or violent exertion
strain	the act of singing; "with a shout and a song they marched up to the gates"
strand	a pattern forming a unity within a larger structural whole; "he tried to pick up the strands of his former life"; "I could hear several melodic strands simultaneously"
strand	line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
strand	a necklace made by stringing objects together; "a string of beads"; "a strand of pearls"
strand	a very slender natural or synthetic fiber
strand	a poetic term for a shore (as the area periodically covered and uncovered by the tides)
Strand	a street in west central London famous for its theaters and hotels
strategic	relating to or concerned with strategy; "strategic weapon"; "the islands are of strategic importance"; "strategic considerations"
strategic	highly important to or an integral part of a strategy or plan of action especially in war; "a strategic chess move"; "strategic withdrawal"; "strategic bombing missions"
strengthen	make strong or stronger; "This exercise will strengthen your upper body"; "strengthen the relations between the two countries"
strengthen	gain strength; "His body strengthened"
strengthen	give a healthy elasticity to; "Let's tone our muscles"
strictly	restricted to something; "we talked strictly business"
strictly	in a stringent manner; "the laws are stringently enforced"; "stringently controlled"
strictly	in a rigorous manner; "he had been trained rigorously by the monks"
striking	sensational in appearance or thrilling in effect; "a dramatic sunset"; "a dramatic pause"; "a spectacular display of northern lights"; "it was a spectacular play"; "his striking good looks always created a sensation"
striking	having a quality that thrusts itself into attention; "an outstanding fact of our time is that nations poisoned by anti semitism proved less fortunate in regard to their own freedom"; "a new theory is the most prominent feature of the book"; "salient traits"; "a spectacular rise in prices"; "a striking thing about Picadilly Circus is the statue of Eros in the center"; "a striking resemblance between parent and child"
strip	a relatively long narrow piece of something; "he felt a flat strip of muscle"
strip	artifact consisting of a narrow flat piece of material
strip	an airfield without normal airport facilities
strip	a sequence of drawings telling a story in a newspaper or comic book
strip	thin piece of wood or metal
strip	a form of erotic entertainment in which a dancer gradually undresses to music; "she did a strip right in front of everyone"
strive	attempt by employing effort; "we endeavor to make our customers happy"
